epoch,split,time_s,lr,loss,loss_std,psnr,ssim,noise_mse,noise_mae,loss_per_class,grad_norm,ema_enabled,total_count,loss_c0,loss_c1,loss_c2,loss_c3,loss_c4,loss_c5,loss_c6,loss_c7,loss_c8
1,train,1760777852.4037735,0.0003,0.07147391744032185,0.0670082664093892,17.13803375564293,0.4521945409720517,0.07147391759929582,0.16292626489149897,,0.30468171691869095,1.0,89984,0.04984144042009857,0.03693678829784485,0.07699999395401531,0.09376244083317739,0.07082872028238718,0.07408077637703585,0.0814046853248886,0.07801280655826727,0.07734117911699015
1,val,1760777862.898253,0.0003,0.05807316390836968,0.007913813460963103,18.09721154529826,0.43519923690317724,0.05807316409902828,0.1449311615728655,,0.0,1.0,10004,0.03292067654566852,0.01993336741765829,0.06490148376259539,0.08221441649132534,0.06065029031440114,0.061864351284204595,0.06543767956024972,0.06790681539825276,0.0626557305484149
2,train,1760778222.0744328,0.0003,0.05548768387749727,0.007839356013650847,18.593243404947337,0.5010681695822802,0.055487683485361455,0.14052865609717402,,0.15763899934601308,1.0,89984,0.04059166286529896,0.028416171403420055,0.06985336400360975,0.0858424768846339,0.06436840086573607,0.06575726273434226,0.07290071938738507,0.07029267029846681,0.06938500639059295
2,val,1760778232.6377456,0.0003,0.05594731439225248,0.009241999203215903,18.687517516186883,0.4602280809420769,0.05594731434458783,0.139357337143506,,0.0,1.0,10004,0.027521608749853658,0.019851532404362986,0.06760662506146925,0.07642203234265008,0.05977026408098722,0.058426845373043816,0.06334573181692252,0.06798490357170835,0.0593109303791409
3,train,1760778451.0750082,0.0003,0.05437674842891449,0.007886488515271175,18.924619857820645,0.5162704552220416,0.05437674831233357,0.1381218590340438,,0.13302812469357447,1.0,89984,0.03704302705660746,0.02560197535359349,0.06644772914875009,0.08262821141683432,0.06160304417000716,0.06275420055472686,0.070207413200607,0.06714271290207956,0.06668205160006668
3,val,1760778461.69786,0.0003,0.05243423237937872,0.008439122358649786,18.9250188764216,0.46649025407422784,0.052434233362462127,0.13476863116180834,,0.0,1.0,10004,0.026151644314686685,0.015511585111388814,0.06069482887525939,0.07333156301488514,0.05436917143256477,0.055648954868580784,0.057829210498585804,0.06171608246042968,0.06095946839927337
4,train,1760778680.5336437,0.0003,0.05274166920319051,0.007943776220995341,19.05222866443618,0.5217768135314985,0.052741669033618266,0.13574130333970655,,0.12789744660682223,1.0,89984,0.03472626300178473,0.023960063590561055,0.06464134102355258,0.08057171794444713,0.060085046008327335,0.06062364262416216,0.06812885492563364,0.06538473885461807,0.06474808019944057
4,val,1760778691.1780012,0.0003,0.052846868070768195,0.008166637620493656,19.202631323874257,0.4649614874409085,0.05284686774456324,0.13596239074117325,,0.0,1.0,10004,0.02573213464688728,0.018115769085353603,0.06227651665297647,0.07552787499134929,0.05957881340016664,0.049911346847805,0.0603713449366824,0.06159367077409081,0.05989916987753572
5,train,1760778908.7485843,0.0003,0.05267626308381642,0.008062045491502913,19.217458909470192,0.527245204063771,0.05267626272877453,0.1352663769109829,,0.1288391577177926,1.0,89984,0.03331344909269052,0.022712315667766835,0.06339782714921717,0.0792358182520408,0.05930075097486044,0.05940543269166198,0.06691835050454001,0.0643270703271948,0.06376296119997296
5,val,1760778919.3487225,0.0003,0.05361815899690953,0.008085756714481935,18.621949746102537,0.4699561959955512,0.05361815909596264,0.1370893335703467,,0.0,1.0,10004,0.02919546636063015,0.01647531846361966,0.06500945533884482,0.07867022668201619,0.0533325715911355,0.05648235662495016,0.06112639117930743,0.0634010357399021,0.055133011523119106
